,Pclass,SibSp,Parch,sex_no,embarked_no,fare_scaled,deck_number,cabin_count,age_scaled,Survived
0,3,1,0,1,3,-0.0487073701217,0,0,-0.0967468917700279,0
1,1,1,0,0,1,0.0762773076987,3,1,0.10430864982333728,1
2,3,0,0,0,3,-0.047389857865900005,0,0,-0.046483006371686605,1
3,1,1,0,0,3,0.0407858697717,3,1,0.0666107357745813,1
4,3,0,0,1,3,-0.0471458741149,0,0,0.0666107357745813,0
5,3,0,0,1,2,-0.0463489255904,0,0,,0
6,1,0,0,1,3,0.0383704306361,5,1,0.30536419141670246,0
7,3,3,1,1,3,-0.021722767253099996,0,0,-0.3480663187617344,0
8,3,0,2,0,3,-0.041127673317400006,0,0,-0.033917035022101284,1
9,2,1,0,0,1,-0.00416413502993,0,0,-0.19727466256671047,1
10,3,1,1,0,3,-0.0302621985407,7,1,-0.3229343760625637,1
11,1,0,0,0,3,-0.0110362789561,3,1,0.3556280768150437,1
12,3,0,0,1,3,-0.0471458741149,0,0,-0.12187883446919855,0
13,3,1,5,1,3,-0.00181369316559,0,0,0.11687462117292259,0
14,3,0,0,0,3,-0.0475280502626,0,0,-0.19727466256671047,0
15,2,0,0,0,3,-0.031628507546700005,0,0,0.31793016276628777,1
16,3,4,1,1,2,-0.0060102136840399995,0,0,-0.3480663187617344,0
17,2,0,0,1,3,-0.0374841175724,0,0,,1
18,3,1,0,0,3,-0.0277247675295,0,0,0.01634685037624001,0
19,3,0,0,0,1,-0.048756166872,0,0,,1
20,2,0,0,1,3,-0.0121098074609,0,0,0.0666107357745813,0
21,2,0,0,1,3,-0.0374841175724,4,1,0.05404476442499598,1
22,3,0,0,0,2,-0.047186473011099996,0,0,-0.18470869121712516,1
23,1,0,0,1,3,0.00643295762066,1,1,-0.02135106367251596,1
24,3,3,1,0,3,-0.021722767253099996,0,0,-0.27267049066422244,0
25,3,1,5,0,3,-0.0015941077896300003,0,0,0.10430864982333728,1
26,3,0,0,1,1,-0.048756166872,0,0,,0
27,1,3,2,1,3,0.450483384573,3,3,-0.13444480581878387,0
28,3,0,0,0,2,-0.0474792535123,0,0,,1
29,3,0,0,1,3,-0.047446852470199995,0,0,,0
30,1,0,0,1,1,-0.00875102955009,0,0,0.12944059252250792,0
31,1,1,0,0,1,0.223131127469,2,1,,1
32,3,0,0,0,2,-0.0477314351174,0,0,,1
33,2,0,0,1,3,-0.0423637925939,0,0,0.45615584761172634,0
34,1,1,0,1,1,0.0975282924171,0,0,-0.02135106367251596,0
35,1,1,0,1,3,0.0386388127622,0,0,0.15457253522167858,0
36,3,0,0,1,1,-0.0487479690179,0,0,,1
37,3,0,0,1,3,-0.0471458741149,0,0,-0.10931286311961322,0
38,3,2,0,0,3,-0.0277247675295,0,0,-0.1470107771683692,0
39,3,1,0,0,1,-0.0409160906085,0,0,-0.19727466256671047,1
40,3,1,0,0,3,-0.0443644593526,0,0,0.12944059252250792,0
41,2,1,0,0,3,-0.021869157503800002,0,0,-0.033917035022101284,0
42,3,0,0,1,1,-0.047446852470199995,0,0,,0
43,2,1,2,0,1,0.018298765776799997,0,0,-0.335500347412149,1
44,3,0,0,0,2,-0.0474792535123,0,0,-0.13444480581878387,1
45,3,0,0,1,3,-0.0471458741149,0,0,,0
46,3,1,0,1,2,-0.032604442551,0,0,,0
47,3,0,0,0,2,-0.0477314351174,0,0,,1
48,3,2,0,1,1,-0.020543447393900002,0,0,,0
49,3,1,0,0,3,-0.0281151415312,0,0,-0.1470107771683692,0
50,3,4,1,1,3,0.0146064132816,0,0,-0.28523646201380776,0
51,3,0,0,1,3,-0.047633841617,0,0,-0.10931286311961322,0
52,1,1,0,0,1,0.08690699657839998,4,1,0.24253433466877583,1
53,2,1,0,0,3,-0.0121098074609,0,0,-0.008785092322930637,1
54,1,0,1,1,1,0.0581169139519,2,1,0.443589876262141,0
55,1,0,0,1,3,0.00643295762066,3,1,,1
56,2,0,0,0,3,-0.0423637925939,0,0,-0.10931286311961322,1
57,3,0,0,1,1,-0.0487479690179,0,0,-0.015068077997723299,0
58,2,1,2,0,3,-0.00869403494584,0,0,-0.3103684047129784,1
59,3,5,2,1,3,0.0286842757185,0,0,-0.23497257661546644,0
60,3,0,0,1,1,-0.0487479690179,0,0,-0.0967468917700279,0
61,1,0,0,0,0,0.09329117300249999,2,1,0.10430864982333728,1
62,1,1,0,1,3,0.100073921282,3,1,0.19227044927043455,0
63,3,3,2,1,3,-0.00840125444455,0,0,-0.3229343760625637,0
64,1,0,0,1,1,-0.00875102955009,0,0,,0
65,3,1,1,1,1,-0.033100607907099996,0,0,,1
66,2,0,0,0,3,-0.0423637925939,6,1,-0.008785092322930637,1
67,3,0,0,1,3,-0.0469344865929,0,0,-0.13444480581878387,0
68,3,4,2,0,3,-0.047389857865900005,0,0,-0.1595767485179545,1
69,3,2,0,1,3,-0.04595035373459999,0,0,-0.046483006371686605,0
70,2,0,0,1,3,-0.0423637925939,0,0,0.028912821725825332,0
71,3,5,2,0,3,0.0286842757185,0,0,-0.17214271986753985,0
72,2,0,0,1,3,0.0806040179467,0,0,-0.10931286311961322,0
73,3,1,0,1,1,-0.0346457082059,0,0,-0.046483006371686605,0
74,3,0,0,1,3,0.0474140299468,0,0,0.028912821725825332,1
75,3,0,0,1,3,-0.047926622118300004,6,2,-0.05904897772127193,0
76,3,0,0,1,3,-0.047446852470199995,0,0,,0
77,3,0,0,1,3,-0.0471458741149,0,0,,0
78,2,0,2,1,3,-0.0062541974351199995,0,0,-0.3627685052407492,1
